INDIVIDUAL,NEST ID,AGE        (days),BODY CONDITION,BROOD ORDER,MEAN TEMPERATURE,FEATHER CORT (ng/mm)
136,235,38,1.11,SECOND,20.62,4.27
137,270,41,1,SINGLETON,20.39,13.94
138,320,43,1.2,FIRST,20.12,10.85
139,320,40,1.01,SECOND,20.55,10.68
140,262,33,1.07,FIRST,21.86,10.13
141,262,33,0.86,SECOND,21.86,20
142,265,32,0.84,SINGLETON,22.25,8.29
143,315,33,0.7,SINGLETON,23.92,9.15
144,217,29,0.91,FIRST,24.22,12.08
145,309,25,0.79,SINGLETON,24.83,6.74
146,295,28,0.72,SINGLETON,24.7,11.31
147,235,38,1.02,FIRST,20.62,5.57
148,310,55,0.99,THIRD,21.9,8.88
149,287,28,0.8,SINGLETON,24.38,7.68
150,296,25,1.02,FIRST,24.08,12.24
151,428,32,1.03,SINGLETON,19.76,10.11
152,370,32,0.8,FIRST,20.39,14.3
153,418,31,1.13,FIRST,19.71,9.82
154,393,32,0.98,SECOND,22.89,6.71
155,393,32,1.03,FIRST,22.89,7.57
156,394,35,0.99,FIRST,21.36,10.28
157,394,30,0.88,SECOND,21.82,15.72
158,407,32,1.22,FIRST,19.61,12.76
159,425,32,1.06,FIRST,22.89,4.29
160,451,31,1,SECOND,19.71,18.4
161,452,33,1.03,FIRST,19.42,18.42
162,366,38,1.16,FIRST,19.03,9.47
163,366,34,0.75,SECOND,19.28,15.36
164,340,33,0.76,FIRST,22.85,13.17
165,379,32,1.18,FIRST,19.61,7.73
166,379,27,1.2,SECOND,20.13,12.92
167,368,34,1.03,FIRST,19.42,14.34
168,368,34,1,SECOND,19.42,15.49
169,368,29,0.55,THIRD,19.97,18.54
170,448,35,0.93,FIRST,19.71,17.33
171,448,33,1.01,SECOND,19.87,22.24
172,336,30,1,FIRST,20.24,9.85
173,338,32,0.9,SINGLETON,19.6,14.37
174,343,28,1.06,FIRST,20.48,13.81
175,341,24,1.14,FIRST,23.08,7.76
176,399,28,1.02,FIRST,20.23,17.72
177,399,24,0.74,SECOND,19.77,18.18
178,415,33,1.14,FIRST,19.68,8.28
179,415,32,1.08,SECOND,19.76,6.25
180,419,32,0.95,FIRST,19.76,14.77
181,419,28,1.06,SECOND,20.23,14.13
182,389,32,1.06,FIRST,19.76,9.38
183,430,31,1.12,FIRST,19.86,14.88
184,401,31,1.05,SINGLETON,21.88,9.06
185,430,26,0.79,SECOND,20.34,23.56
186,453,23,0.9,FIRST,22.77,8.64
187,404,41,0.79,SECOND,22.91,6.59
188,459,29,0.99,FIRST,24.93,11.6
189,459,25,0.6,SECOND,26.92,14.04
190,367,36,1.11,FIRST,23.72,4.89
191,455,25,0.86,FIRST,20.5,15.38
192,334,26,0.95,FIRST,23.93,9.46
193,339,40,0.89,FIRST,20.74,13.11
194,440,31,0.92,FIRST,21.88,7.47
195,440,30,0.73,SECOND,21.82,10.35
196,440,29,0.57,THIRD,21.66,9
197,441,29,1.09,FIRST,21.66,10.91
198,441,25,0.64,SECOND,21.83,9.38
199,343,26,0.77,SECOND,20.27,14.8
200,439,29,1.07,SINGLETON,20.34,9.91
201,358,31,1.06,SINGLETON,20.12,11.14
202,371,33,0.74,FIRST,20.23,33.33
203,421,30,1.03,SECOND,17.85,20.19
204,421,31,1.04,FIRST,17.91,15.94
205,390,27,1,FIRST,17.62,11.08
206,390,27,1.19,SECOND,17.62,13.09
207,390,24,1.13,THIRD,18.02,18.47
208,383,36,1.01,FIRST,18.99,18.08
209,426,39,1.09,SINGLETON,20.51,17.57
210,427,32,1.17,SECOND,19.61,11.02
211,427,36,1.06,FIRST,18.99,6.45
212,391,33,0.99,SECOND,25.55,7.27
213,333,39,1.11,SECOND,25.2,11.02
214,411,36,0.99,SECOND,22.97,3.85
215,414,40,0.83,FIRST,24.13,11.36
216,425,29,0.84,SECOND,23.66,7.87
217,460,33,0.88,FIRST,22.85,13.65
218,388,47,1.12,FIRST,22.05,5.4
219,388,41,1.01,SECOND,22.91,2.68
220,406,31,0.72,SINGLETON,22.72,4.46
221,342,31,0.81,FIRST,22.72,5.06
222,411,36,1,FIRST,22.97,5.66
223,408,30,1.08,SINGLETON,22.93,2.45
224,380,26,0.63,SINGLETON,24.3,10.83
225,534,45,1.04,FIRST,20.74,10.99
226,517,35,1,FIRST,21.35,4.75
227,517,31,0.93,SECOND,21.34,8.6
228,523,34,0.93,FIRST,20.77,12.94
229,533,38,0.96,FIRST,23.65,13.6
230,514,32,1.06,FIRST,21.55,9.83
231,514,30,0.87,SECOND,21.47,6.98
232,566,27,1.09,FIRST,21.4,9.2
233,548,25,1.28,SINGLETON,21.92,5.81
234,480,24,1.18,FIRST,20.21,10.6
235,480,24,1.29,SECOND,20.21,11.6
236,554,29,1.15,FIRST,20.91,8.57
237,554,29,1.11,SECOND,20.91,8.21
238,554,25,1.02,THIRD,21.15,18.47
239,555,28,1.15,FIRST,21.16,11.2
240,555,28,1.1,SECOND,21.16,18.16
241,555,23,0.56,THIRD,20.95,10.71
242,560,30,1.13,FIRST,20.92,12.25
243,560,26,0.89,SECOND,21.68,19.12
244,547,29,1.07,FIRST,21.09,10.33
245,547,29,0.92,SECOND,21.09,19.34
246,471,30,0.94,FIRST,20.92,8.83
247,473,26,0.91,FIRST,21.64,10.17
248,565,36,1.06,FIRST,20.71,15.38
249,549,27,0.91,FIRST,21.4,9.37
250,549,25,0.7,SECOND,21.92,5.9
251,479,35,1.32,FIRST,21.28,6.68
252,479,33,1.15,SECOND,21.19,8.03
253,512,33,1.02,FIRST,21.19,16.14
254,551,30,1.06,FIRST,20.92,10.15
255,551,30,1.02,SECOND,20.92,7.8
256,511,25,1.08,FIRST,19.92,10.69
257,513,31,1.22,FIRST,21,25.01
258,469,27,0.91,FIRST,20.7,12.4
259,568,33,0.94,FIRST,20.76,6.95
260,568,29,0.68,SECOND,21.26,9.93
261,550,26,1.05,SINGLETON,20.32,5.16
262,472,29,1.09,FIRST,21.26,12.05
263,472,24,1,SECOND,19.67,22.34
264,491,38,1.01,FIRST,20.75,5.31
265,491,37,0.86,SECOND,20.98,31.23
266,491,33,0.72,THIRD,21.43,10.43
267,557,36,0.91,SECOND,20.46,12.37
268,542,35,1.08,FIRST,20.76,9.87
269,487,29,1.11,SINGLETON,19.82,18.78
270,546,34,0.99,FIRST,20.52,17.06
271,546,30,0.77,SECOND,19.83,20.22
272,552,25,0.8,FIRST,20.19,15.48
273,558,29,1.09,FIRST,19.82,9.08
274,482,35,1.12,FIRST,20.74,14.59
275,482,32,1.03,SECOND,20.58,11.73
276,521,38,1.02,FIRST,20.67,7.57
277,521,38,1,SECOND,20.67,11.96
278,489,44,1.12,SECOND,20.52,16.28
279,557,40,0.89,FIRST,20.79,10.67
280,515,35,1.08,FIRST,21.28,5.09
281,515,35,1.2,SECOND,21.28,10.13
282,545,30,1.48,FIRST,20.92,10.64
283,561,29,1.14,FIRST,21.09,11
284,561,29,0.69,SECOND,21.09,14.53
285,559,36,1.08,FIRST,21.19,8.65
286,559,35,1.16,SECOND,21.15,15.25
287,488,33,1.15,FIRST,21.05,8.95
288,470,31,1,SINGLETON,20.76,6.3
289,544,40,1.14,FIRST,20.68,11.32
290,544,40,1.1,SECOND,20.68,11.94
291,496,40,0.98,FIRST,20.8,8.87
292,539,34,0.82,FIRST,20.48,10.1
293,541,38,1.2,FIRST,20.75,5.6
294,541,36,1.16,SECOND,21.17,3.26
295,543,30,1.12,FIRST,21.28,8.72
296,468,40,1.07,FIRST,20.8,3.33
297,468,40,0.98,SECOND,20.8,6.38
298,564,29,0.78,SINGLETON,25.79,14.19
299,519,27,1.02,FIRST,20.3,9.81
300,537,32,0.92,FIRST,20.13,12.79
301,502,28,0.85,FIRST,26.63,5.72
302,518,44,0.94,FIRST,20.83,6.28
303,510,40,1.15,FIRST,20.43,2.69
304,510,38,0.98,SECOND,20.75,4.95
305,497,31,0.96,SECOND,21.26,8.46
306,501,36,1.02,FIRST,20.17,12.89
307,501,34,1.04,SECOND,20.55,18.57
308,525,33,0.99,FIRST,20.74,10.71
309,525,31,0.9,SECOND,21.26,13.87
310,532,32,0.96,FIRST,21.35,11.41
311,535,37,1.21,FIRST,20.1,8.54
312,535,33,1.01,SECOND,20.74,14.77
313,506,32,0.99,FIRST,18.58,14.45
314,506,31,0.89,SECOND,18.76,17.17
315,503,31,1.09,FIRST,18.76,6.32
316,503,31,1.18,SECOND,18.76,5.63
317,485,30,1.15,SECOND,18.83,10.2
318,494,25,1.06,THIRD,19.92,12.72
319,483,39,1.2,FIRST,23.44,4.39
320,483,39,1.11,SECOND,23.44,5.55
321,516,39,0.74,FIRST,23.44,8.08
322,492,34,1.1,FIRST,20.39,11.01
323,659,28,0.85,SECOND,22.28,8.24
324,616,29,1.1,SINGLETON,22.21,8.43
325,590,31,1.08,FIRST,22.32,23.97
